amenities,bathrooms,bedrooms,pets_allowed,square_feet,cityname,state,monthly_price
NA,0,0,none,101,washington,dc,790
NA,0,1,none,106,evansville,in,425
NA,1,0,none,107,arlington,va,1390
NA,1,0,none,116,seattle,wa,925
NA,0,0,none,125,arlington,va,880
"dishwasher,elevator,patio/deck,pool,storage",1,0,none,130,manhattan,ny,2475
NA,0,0,none,132,venice,ca,1800
NA,0,0,none,136,washington,dc,840
refrigerator,1,0,none,138,san francisco,ca,1495
NA,0,0,none,141,washington,dc,890
NA,0,0,none,146,washington,dc,990
NA,0,0,none,150,washington,dc,840
NA,0,1,"cats,dogs",156,tucson,az,1795
NA,0,0,none,178,washington,dc,1090
refrigerator,1,0,none,190,san francisco,ca,1695
"ac,basketball,cable or satellite,gym,internet access,patio/deck,pool,refrigerator",1,1,"cats,dogs",200,new bern,nc,6754.8
"ac,basketball,cable or satellite,gym,internet access,patio/deck,pool,refrigerator",1,1,"cats,dogs",200,new bern,nc,1560
NA,1,1,none,200,spring,tx,1000
NA,1,1,none,200,vallejo,ca,950
pool,1,1,none,200,marietta,ga,625
NA,1,1,none,200,charlotte,nc,600
"cable or satellite,clubhouse,elevator,internet access,parking,pool,refrigerator",1,1,none,200,tallahassee,fl,544
NA,1,1,none,200,null,null,525
pool,1,1,none,200,phoenix,az,450
NA,1,1,none,215,riverview,fl,750
NA,1,1,none,219,lafayette,al,2000
NA,1,1,none,219,san francisco,ca,1400
NA,1,1,none,219,glen burnie,md,1095
pool,1,1,none,219,littleton,co,915
pool,1,1,none,219,waldorf,md,900
pool,1,1,none,219,riverview,fl,865
pool,1,1,none,219,null,null,750
NA,1,1,none,219,aurora,co,725
NA,1,1,none,219,manassas,va,650
NA,1,1,none,219,decatur,ga,650
NA,1,1,none,219,tampa,fl,645
NA,1,1,none,219,albuquerque,nm,595
NA,1,1,none,220,null,null,750
NA,1,0,"cats,dogs",223,seattle,wa,1195
NA,1,0,none,225,seattle,wa,1150
"cable or satellite,dishwasher,internet access,parking,refrigerator",1,1,cats,225,chicago,il,942
NA,1,0,"cats,dogs",228,seattle,wa,1250
NA,1,1,none,230,gastonia,nc,800
NA,1,1,none,230,wimauma,fl,685
NA,1,1,"cats,dogs",230,memphis,tn,525
NA,1,0,cats,231,seattle,wa,1095
"dishwasher,refrigerator",1,0,"cats,dogs",232,san francisco,ca,1695
NA,0,0,none,239,washington,dc,990
NA,1,1,cats,240,bellingham,wa,775
NA,1,0,"cats,dogs",243,seattle,wa,1299
dishwasher,1,1,"cats,dogs",245,anchorage,ak,705
NA,1,1,none,250,pacifica,ca,1800
pool,1,1,none,250,marina del rey,ca,1600
NA,1,1,none,250,san francisco,ca,1500
NA,1,1,none,250,studio city,ca,1330
NA,1,1,none,250,moorpark,ca,1310
pool,1,1,none,250,torrance,ca,1300
NA,1,1,none,250,sacramento,ca,1295
pool,1,1,none,250,lake balboa,ca,1255
NA,1,1,none,250,seattle,wa,1250
NA,1,1,none,250,north hollywood,ca,1250
NA,1,1,none,250,denver,co,1200
NA,1,1,none,250,aurora,co,1200
NA,1,1,none,250,brentwood,ca,1175
NA,1,1,none,250,san rafael,ca,1155
pool,1,1,none,250,north potomac,md,1150
pool,1,1,none,250,andover,ma,1145
NA,1,1,none,250,oakland,ca,1135
NA,1,1,none,250,san pablo,ca,1115
NA,1,0,none,250,chicago,il,1095
NA,1,1,none,250,alexandria,va,1090
NA,1,1,none,250,chicago,il,1075
pool,1,1,none,250,thousand oaks,ca,1050
NA,1,1,none,250,denver,co,1050
