"price","square_feet","bedrooms","bathrooms","cityname","state"
1390,107,0,1,53,47
925,116,0,1,1287,49
2475,130,0,1,822,36
1495,138,0,1,1249,5
1695,190,0,1,1249,5
1560,200,1,1,967,28
1560,200,1,1,967,28
1000,200,1,1,1343,45
950,200,1,1,1440,5
625,200,1,1,836,11
600,200,1,1,259,28
544,200,1,1,1387,10
450,200,1,1,1102,4
750,215,1,1,1197,10
2000,219,1,1,722,2
1400,219,1,1,1249,5
1095,219,1,1,529,21
915,219,1,1,776,6
900,219,1,1,1462,21
865,219,1,1,1197,10
725,219,1,1,68,6
650,219,1,1,818,47
650,219,1,1,364,11
645,219,1,1,1388,10
595,219,1,1,14,33
1195,223,0,1,1287,49
1150,225,0,1,1287,49
942,225,1,1,273,15
1250,228,0,1,1287,49
800,230,1,1,519,28
685,230,1,1,1545,10
525,230,1,1,866,44
1095,231,0,1,1287,49
1695,232,0,1,1249,5
775,240,1,1,106,49
1299,243,0,1,1287,49
705,245,1,1,35,1
1800,250,1,1,1065,5
1600,250,1,1,837,5
1500,250,1,1,1249,5
1330,250,1,1,1368,5
1310,250,1,1,929,5
1300,250,1,1,1413,5
1295,250,1,1,1226,5
1255,250,1,1,723,5
1250,250,1,1,1287,49
1250,250,1,1,1004,5
1200,250,1,1,370,6
1200,250,1,1,68,6
1175,250,1,1,163,5
1155,250,1,1,1258,5
1150,250,1,1,1011,21
1145,250,1,1,37,20
1135,250,1,1,1031,5
1115,250,1,1,1256,5
1095,250,0,1,273,15
1090,250,1,1,16,47
1075,250,1,1,273,15
1050,250,1,1,1404,5
1050,250,1,1,370,6
1045,250,1,1,195,47
1025,250,1,1,104,49
1005,250,1,1,1543,5
1000,250,1,1,1559,5
1000,250,1,1,884,10
1000,250,1,1,644,21
1000,250,1,1,1520,6
1000,250,1,1,68,6
1000,250,1,1,56,6
1000,250,1,1,1285,5
975,250,1,1,1254,5
965,250,1,1,861,32
955,250,1,1,529,21
950,250,1,1,776,6
950,250,1,1,68,6
930,250,1,1,310,5
925,250,1,1,722,6
925,250,1,1,277,5
925,250,1,1,529,21
915,250,1,1,611,6
900,250,1,1,743,21
900,250,1,1,1053,10
900,250,1,1,149,6
900,250,1,1,68,6
900,250,1,1,715,5
900,250,1,1,34,5
895,250,1,1,309,6
895,250,1,1,56,6
875,250,1,1,53,47
865,250,1,1,955,10
865,250,1,1,61,11
860,250,1,1,1272,10
855,250,1,1,68,6
850,250,1,1,792,47
850,250,1,1,485,6
850,250,1,1,1556,47
850,250,1,1,957,44
850,250,1,1,1240,10
850,250,1,1,1137,39
825,250,1,1,674,21
805,250,1,1,61,11
800,250,1,1,182,6
800,250,1,1,440,6
800,250,1,1,1140,21
800,250,1,1,368,10
800,250,1,1,781,5
800,250,1,1,662,10
795,250,1,1,1083,6
785,250,1,1,493,6
785,250,1,1,482,6
760,250,1,1,797,6
755,250,1,1,790,10
755,250,1,1,92,9
755,250,1,1,638,40
750,250,1,1,1195,5
750,250,1,1,1133,10
750,250,1,1,522,21
750,250,1,1,259,28
725,250,1,1,957,44
725,250,1,1,616,11
720,250,1,1,311,45
705,250,1,1,635,45
700,250,1,1,47,4
700,250,1,1,70,45
700,250,1,1,182,6
700,250,1,1,1284,4
700,250,1,1,1053,10
700,250,1,1,77,21
700,250,1,1,246,6
700,250,1,1,734,6
700,250,1,1,708,45
695,250,0,1,240,13
695,250,1,1,1373,15
685,250,1,1,306,42
685,250,1,1,1102,4
675,250,1,1,635,45
675,250,1,1,314,24
660,250,1,1,1102,4
650,250,1,1,77,21
650,250,1,1,1241,39
650,250,1,1,274,10
650,250,1,1,1245,45
650,250,1,1,46,44
645,250,1,1,1379,42
645,250,1,1,259,28
625,250,1,1,1448,10
610,250,1,1,1102,4
600,250,1,1,1344,10
600,250,1,1,1420,4
600,250,1,1,397,11
600,250,1,1,1267,5
600,250,1,1,1388,10
600,250,1,1,634,23
600,250,1,1,1158,28
595,250,1,1,971,47
580,250,1,1,1452,10
575,250,1,1,298,40
575,250,1,1,1554,10
550,250,1,1,285,21
550,250,1,1,1348,47
500,250,1,1,774,42
500,250,1,1,73,45
500,250,1,1,1087,4
499,250,1,1,497,18
495,250,1,1,1102,4
200,250,1,1,938,21
1325,253,0,1,1287,49
1400,255,0,1,700,49
1995,258,0,1,1249,5
710,265,1,1,811,50
1659,272,1,1,1470,8
1600,272,1,1,1252,5
850,273,1,1,139,16
